Elev angle,Gas loss,Clutter gain,Propagation loss
0,22.62900561,-20.41659132,201.7129427
1,1.975132719,-18.99913207,201.6898872
2,1.102860802,-17.82298605,201.666839
3,0.774538799,-16.82228216,201.6438051
4,0.596240218,-14.61084425,201.6207927
5,0.484044985,-12.11744316,201.597809
6,0.407069497,-10.81762313,201.5748613
7,0.351078267,-9.883696288,201.5519565
8,0.308579453,-9.15418493,201.5291019
9,0.275256512,-8.562885679,201.5063046
10,0.248450037,-8.072642545,201.4835716
11,0.22824524,-7.660618235,201.46091
12,0.208040443,-7.311317058,201.4383269
13,0.193558571,-7.012594357,201.4158292
14,0.179076699,-6.755653101,201.393424
15,0.168206369,-6.533419343,201.3711182
16,0.157336039,-6.340019639,201.3489188
17,0.148888936,-6.170449471,201.3268325
18,0.140441834,-6.021075176,201.3048662
19,0.133698747,-5.888437243,201.2830267
20,0.12695566,-5.769858498,201.2613208
21,0.121456122,-5.663302214,201.2397551
22,0.115956584,-5.566667899,201.2183363
23,0.111392277,-5.478480186,201.197071
24,0.106827969,-5.397441146,201.1759657
25,0.102984757,-5.322394265,201.1550269
26,0.099141544,-5.252719938,201.134261
27,0.095866113,-5.187343972,201.1136745
28,0.092590681,-5.125723203,201.0932735
29,0.089770409,-5.067384351,201.0730643
30,0.086950136,-5.011891572,201.0530531
31,0.085021569,-4.958846354,201.033246
32,0.083093003,-4.907886713,201.013649
33,0.081164436,-4.858685848,200.994268
34,0.07923587,-4.811128373,200.975109
35,0.077307303,-4.765019678,200.9561778
36,0.075378736,-4.720032873,200.93748
37,0.07345017,-4.676276347,200.9190214
38,0.071521603,-4.633382202,200.9008075
39,0.069593037,-4.591382984,200.8828437
40,0.06766447,-4.550194228,200.8651355
41,0.066576863,-4.509570878,200.8476882
42,0.065489257,-4.469696242,200.830507
43,0.064401651,-4.430363522,200.8135971
44,0.063314044,-4.391448663,200.7969635
45,0.062226438,-4.353042192,200.7806112
46,0.061138831,-4.315130294,200.764545
47,0.060051225,-4.277530487,200.7487698
48,0.058963618,-4.24021541,200.7332902
49,0.057876012,-4.203388417,200.7181107
50,0.056788406,-4.166841888,200.7032359
51,0.056133307,-4.130493076,200.6886702
52,0.055478208,-4.094390685,200.6744179
53,0.054823109,-4.058698548,200.6604831
54,0.05416801,-4.023180733,200.6468701
55,0.053512911,-3.987822135,200.6335826
56,0.052857812,-3.952870384,200.6206247
57,0.052202713,-3.918125591,200.6080002
58,0.051547613,-3.883514425,200.5957127
59,0.050892514,-3.849259011,200.5837658
60,0.050237415,-3.815260478,200.572163
61,0.049843836,-3.781380733,200.5609077
62,0.049450256,-3.747888143,200.5500031
63,0.049056676,-3.714645609,200.5394524
64,0.048663096,-3.681515341,200.5292587
65,0.048269516,-3.648876205,200.5194249
66,0.047875936,-3.616428875,200.5099539
67,0.047482356,-3.584107814,200.5008483
68,0.047088776,-3.552377126,200.4921108
69,0.046695196,-3.520753344,200.483744
70,0.046301616,-3.489279656,200.4757502
71,0.046089626,-3.458469434,200.4681317
72,0.045877637,-3.427799908,200.4608907
73,0.045665647,-3.397266944,200.4540294
74,0.045453658,-3.367018899,200.4475495
75,0.045241668,-3.33741652,200.4414531
76,0.045029679,-3.307974705,200.4357418
77,0.044817689,-3.278691604,200.4304173
78,0.0446057,-3.2495654,200.4254811
79,0.04439371,-3.220594307,200.4209347
80,0.04418172,-3.191767331,200.4167792
81,0.044120734,-3.163065014,200.4130159
82,0.044059748,-3.134513426,200.4096458
83,0.043998762,-3.106110878,200.40667
84,0.043937776,-3.077855712,200.4040893
85,0.043876791,-3.049746299,200.4019043
86,0.043815805,-3.021781035,200.4001158
87,0.043754819,-2.993958349,200.3987242
88,0.043693833,-2.966276692,200.3977299
89,0.043632847,-2.938734544,200.3971332
90,0.043571861,-2.911325979,200.3969343
